Direccion;Canal;Segmento;Fecha de creacion;Dia de la semana;Numero de semana;Cod Persona;Campaña de referencia
Inbound;Otras fuentes;Otras fuentes;14/04/2026;martes;16;48412280;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;13/04/2026;lunes;16;49557520;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;13/04/2026;lunes;16;49557520;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;13/04/2026;lunes;16;49574070;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;18/04/2026;sábado;16;39243600;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;13/04/2026;lunes;16;48568300;EPE-FC-202602 - EPE- 202602
Inbound;Onsite;Pop-Up;19/04/2026;domingo;16;27690310;Pregrado-AC-202602 
Outbound;WhatsApp;ugprp646_proximo_periodo_130426;14/04/2026;martes;16;28265410;Pregrado-AC-202602 
Inbound;Web;Portal;18/04/2026;sábado;16;49639180;EPE-FC-202602 - EPE- 202602
Inbound;Otras fuentes;Otras fuentes;16/04/2026;jueves;16;45382100;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;17/04/2026;viernes;16;33095990;Pregrado-AC-202602 
Inbound;Web;Botón Página Principal;17/04/2026;viernes;16;24634810;Pregrado-AC-202602 
Inbound;Web;Portal;13/04/2026;lunes;16;2398761;EPE-FC-202602 - EPE- 202602
Inbound;Otras fuentes;Otras fuentes;14/04/2026;martes;16;2398761;EPE-FC-202602 - EPE- 202602
Inbound;Otras fuentes;Otras fuentes;19/04/2026;domingo;16;42389090;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;15/04/2026;miércoles;16;25943630;EPE-FC-202602 - EPE- 202602
Outbound;WhatsApp;ugpmfo96_increm_pre_medicina_form_web_16042026;16/04/2026;jueves;16;46101310;MEDICINA - Pregrado-AC-202701
Inbound;Web;Botón Página Principal;14/04/2026;martes;16;26503480;Pregrado-AC-202602 
Inbound;Web;Botón Pag admisión;17/04/2026;viernes;16;46996410;Pregrado-AC-202602 
Inbound;Web;Portal;14/04/2026;martes;16;28547050;EPE-FC-202602 - EPE- 202602
Outbound;WhatsApp;ugraul651_ra_ultimo_periodo_feeder_aaa;17/04/2026;viernes;16;38863320;Pregrado-AC-202602- RA
Inbound;Otras fuentes;Otras fuentes;15/04/2026;miércoles;16;46211290;Pregrado-AC-202602 
Outbound;WhatsApp;ugpc22_promotor_colegio_150426;15/04/2026;miércoles;16;13542710;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;13/04/2026;lunes;16;31238060;Pregrado-AC-202602 
Inbound;Onsite;Pop-Up;13/04/2026;lunes;16;33663380;Pregrado-AC-202602 
Inbound;Web;Gracias landing;16/04/2026;jueves;16;9805390;EPE-FC-202602 - EPE- 202602
Inbound;Otras fuentes;Otras fuentes;17/04/2026;viernes;16;49255410;EPE-FC-202602 - EPE- 202602
Inbound;Otras fuentes;Otras fuentes;16/04/2026;jueves;16;44235700;EPE-FC-202602 - EPE- 202602
Inbound;Otras fuentes;Otras fuentes;16/04/2026;jueves;16;49456300;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;17/04/2026;viernes;16;46946350;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;17/04/2026;viernes;16;46946350;Pregrado-AC-202602 
Outbound;WhatsApp;ugfw400_formulario_web_130426;15/04/2026;miércoles;16;49434300;Pregrado-AC-202602 
Outbound;WhatsApp;ugfowpe647_formulario_web_periodo_anterior_1304;16/04/2026;jueves;16;49027530;Pregrado-AC-202602 
Outbound;WhatsApp;ugpmfo96_increm_pre_medicina_form_web_16042026;16/04/2026;jueves;16;49097640;MEDICINA - Pregrado-AC-202701
Inbound;Otras fuentes;Otras fuentes;16/04/2026;jueves;16;49097640;Pregrado-AC-202602 
Inbound;Web;Gracias portal;18/04/2026;sábado;16;39874200;Pregrado-AC-202602 
Outbound;WhatsApp;ugpmfo96_increm_pre_medicina_form_web_16042026;16/04/2026;jueves;16;47239070;MEDICINA - Pregrado-AC-202701
Outbound;WhatsApp;ugpm27_total_pre_medicina_base_preliminar_15042026;15/04/2026;miércoles;16;45714730;MEDICINA - Pregrado-AC-202701
Outbound;WhatsApp;ugprp646_proximo_periodo_130426;14/04/2026;martes;16;44333330;Pregrado-AC-202602 
Inbound;Web;Gracias landing;19/04/2026;domingo;16;42930880;EPE-FC-202602 - EPE- 202602
Outbound;WhatsApp;ugraul651_ra_ultimo_periodo_feeder_aaa;17/04/2026;viernes;16;41103370;Pregrado-AC-202602- RA
Inbound;Otras fuentes;Otras fuentes;15/04/2026;miércoles;16;45144230;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;17/04/2026;viernes;16;42574750;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;17/04/2026;viernes;16;42574750;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;17/04/2026;viernes;16;42574750;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;17/04/2026;viernes;16;42574750;Pregrado-AC-202602 
Inbound;Web;Gracias landing;18/04/2026;sábado;16;41021110;Pregrado-AC-202602 
Inbound;Web;Gracias pag Facultad;18/04/2026;sábado;16;43861020;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;18/04/2026;sábado;16;43861020;Pregrado-AC-202602 
Inbound;Web;Botón Página carrera;18/04/2026;sábado;16;49080990;Pregrado-AC-202602 
Inbound;Web;Gracias principal;18/04/2026;sábado;16;47802010;Pregrado-AC-202602 
Inbound;Web;Botón Página Principal;19/04/2026;domingo;16;35048920;Pregrado-AC-202602 
Inbound;Web;Convalidador;19/04/2026;domingo;16;36599560;EPE-FC-202602 - EPE- 202602
Inbound;Web;Banner principal;13/04/2026;lunes;16;49083230;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;13/04/2026;lunes;16;49083230;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;14/04/2026;martes;16;49279630;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;14/04/2026;martes;16;49279630;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;16/04/2026;jueves;16;49106340;Pregrado-AC-202602 
Inbound;Email;Email bienvenida;16/04/2026;jueves;16;12836220;Pregrado-AC-202602 
Outbound;WhatsApp;ugpmfo96_increm_pre_medicina_form_web_16042026;16/04/2026;jueves;16;49336770;MEDICINA - Pregrado-AC-202701
Inbound;Otras fuentes;Otras fuentes;14/04/2026;martes;16;22397840;Pregrado-AC-202602 
Inbound;Onsite;Pop-Up;14/04/2026;martes;16;49586820;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;17/04/2026;viernes;16;44601360;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;16/04/2026;jueves;16;48783530;Pregrado-AC-202602 
